src,dst,probability
10,322,0.002207505518763797
10,23129,0.14285714285714285
10,26078,0.019230769230769232
10,19,0.005208333333333333
10,71,0.002531645569620253
10,6598,0.006993006993006993
10,557,0.011764705882352941
10,72,0.010869565217391304
10,1572,0.01694915254237288
10,30578,0.011627906976744186
10,3647,0.011363636363636364
10,2010,0.015384615384615385
15,290,0.005376344086021506
15,2420,0.008928571428571428
15,2670,0.002325581395348837
15,747,0.05263157894736842
15,1357,0.005
15,750,0.002369668246445498
15,9731,0.009433962264150943
15,1583,0.05555555555555555
15,1276,0.0021645021645021645
15,67647,0.1111111111111111
15,2515,0.0035587188612099642
15,41243,0.125
15,1880,0.004
15,22580,0.08333333333333333
15,52447,0.1111111111111111
15,5406,0.010869565217391304
15,9148,0.06666666666666667
15,13777,0.045454545454545456
15,125869,0.16666666666666666
15,92548,0.25
15,832,0.005050505050505051
15,2144,0.017543859649122806
15,9957,0.045454545454545456
17,1,0.015873015873015872
19,1,0.015873015873015872
19,27,0.0028089887640449437
19,987,0.0038910505836575876
19,360,0.012658227848101266
19,138,0.0013605442176870747
19,2055,0.002857142857142857
19,369,0.002840909090909091
19,374,0.008928571428571428
19,8,0.0012547051442910915
19,78,0.00303951367781155
19,381,0.010752688172043012
19,10,0.003067484662576687
19,42,0.003816793893129771
19,299,0.0047169811320754715
19,21692,0.021739130434782608
19,396,0.001483679525222552
19,43,0.002398081534772182
19,1503,0.0009727626459143969
19,1941,0.0049504950495049506
19,81,0.0022675736961451248
19,1062,0.0009794319294809011
19,301,0.0010741138560687433
19,403,0.0036101083032490976
19,901,0.005714285714285714
19,1357,0.005
19,750,0.002369668246445498
19,1852,0.0026246719160104987
19,9731,0.009433962264150943
19,756,0.009009009009009009
19,759,0.003472222222222222
19,1104,0.010752688172043012
19,1267,0.0031545741324921135
19,6139,0.022222222222222223
19,1274,0.0017857142857142857
19,456,0.004901960784313725
19,213,0.0017793594306049821
19,5980,0.017241379310344827
19,57,0.007874015748031496
19,59,0.0019569471624266144
19,88,0.001451378809869376
19,216,0.005952380952380952
19,308,0.00423728813559322
19,5226,0.002785515320334262
19,2515,0.0035587188612099642
19,1548,0.005714285714285714
19,1971,0.0023752969121140144
19,2690,0.011363636363636364
19,63,0.004219409282700422
19,15,0.002320185614849188
19,3595,0.007633587786259542
19,32334,0.015384615384615385
19,1284,0.003861003861003861
19,502,0.0033333333333333335
19,23576,0.014925373134328358
19,91,0.005952380952380952
19,1988,0.0013605442176870747
19,317,0.0020491803278688526
19,221,0.00558659217877095
19,323,0.0020876826722338203
19,29461,0.1111111111111111
